"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",0.00668122476134303,0.00228625349590879,0.228625349590879,0.00161670618779893,0.228711526348839,0.00164507709732765,94.77,0.222631332026739,0.911402434395432,0.00114367179036317
"Strata","A=1",-0.00141913399633066,0.00193530450976339,0.193530450976339,0.00136853537099391,0.193525977565957,0.00138435767001347,95.08,0.216285367050108,0.77516215893327,0.00103396989390285
"Group","A=0",0.00119674000901135,0.00244437581980865,0.244437581980865,0.00172852114617319,0.24442828948007,0.00170620499195154,95.12,0.215449669296567,0.978668601729347,0.00122527355713511
"Group","A=1",-0.00220692637358233,0.00210113824607505,0.210113824607505,0.00148580339403713,0.210114909117089,0.0015056551739337,95.66,0.203755834272298,0.857796479506174,0.00114892283547077
