"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",-0.000464365863393484,0.00186148999381202,0.186148999381202,0.0013163380162817,0.186140270928353,0.00131835730352097,93.86,0.240062575175724,0.737820105943009,0.00128275185575494
"Strata","A=1",0.00134899619046843,0.00180542161046255,0.180542161046255,0.00127668969973974,0.180538173688509,0.00125738453975628,94.56,0.226805290943576,0.72964188026505,0.00135037216554723
"Group","A=0",-0.00262251667948245,0.00192898682490063,0.192898682490063,0.00136406786980541,0.19290686434123,0.0013713289138903,93.89,0.23951365305552,0.771014695328561,0.00135178871239729
"Group","A=1",-4.97522028731232e-05,0.00200069082359832,0.200069082359832,0.00141477278883207,0.200059084841992,0.00142572999188417,94.6,0.226017698422048,0.813677989861866,0.00151899659873006
