"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",0.000296806699699577,0.000908427321119118,0.0908427321119118,0.000642387239143439,0.0908386747568227,0.000634665405355037,94.82,0.221623013245466,0.357450610033512,0.000187137183185556
"Strata","A=1",-0.00115788616876016,0.000902566950863892,0.0902566950863892,0.000638243124384787,0.0902596093565469,0.000635280424103192,95.42,0.209051094232965,0.360321031360762,0.000208009580172308
"Group","A=0",-0.000251468814442894,0.000951502300194154,0.0951502300194154,0.000672847371991585,0.0951458047035444,0.000665630541057477,95.23,0.213130734526956,0.380998279798758,0.00019976654970105
"Group","A=1",0.000326432787069715,0.000995303075567006,0.0995303075567006,0.000703820745986376,0.099525866248346,0.000714263750727411,95.42,0.209051094232965,0.397464067542409,0.000235097633864744
