"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",-0.000778498636636131,0.000871480906163714,0.0871480906163715,0.000616260872236936,0.0871472103927414,0.000619129853093328,93.78,0.241518446500469,0.344488066605136,0.000606556610707328
"Strata","A=1",-0.000106583309625228,0.000906304035935695,0.0906304035935695,0.000640885774716749,0.0906259346353439,0.000651665493215467,94.54,0.227197799285116,0.368077617269374,0.000649700138838288
"Group","A=0",-0.00136556380775825,0.00112269756327239,0.112269756327239,0.00079390675654178,0.112272447646215,0.000788716891017542,94.28,0.232224374259034,0.45033244131976,0.000781349452588487
"Group","A=1",-0.000821044397796588,0.00129567817894555,0.129567817894555,0.000916228639145133,0.129563940839711,0.000905950195137377,94.29,0.232033596705305,0.521845134605201,0.000867693729619907
