"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",-0.00277591509059371,0.00169460344618668,0.169460344618668,0.00119832550599397,0.169474607012461,0.00121325558128002,94.08,0.235998644063901,0.680209242389194,0.00126056797512592
"Strata","A=1",0.00209023678804493,0.00127858801168751,0.127858801168751,0.000904143461711386,0.127869493386174,0.000900944646592303,94.2,0.233743449106066,0.509100396347645,0.000894015321197335
"Group","A=0",-0.00211446077177939,0.00179331193563046,0.179331193563046,0.00126812643837423,0.179334692576209,0.00128660013162794,94.01,0.23730147492167,0.716091374027836,0.00127885349675711
"Group","A=1",-0.00219123865485876,0.00152101001071913,0.152101001071913,0.00107557027269029,0.15210917980999,0.00108090310513726,94.13,0.235062353429893,0.607283507633977,0.00106000929166839
