"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",-0.000229197129012657,0.00160525400318869,0.160525400318869,0.00113514274973806,0.160517537479374,0.00115152736641488,95.84,0.19967333322204,0.665174377939508,0.000522026108349383
"Strata","A=1",0.0013417406376184,0.00169915516494353,0.169915516494353,0.00120154421813263,0.169912318226805,0.00119193412135802,95.51,0.20708449966137,0.6841245300456,0.000563492657148542
"Group","A=0",0.00364225369613892,0.00294944006827393,0.294944006827393,0.00208567335925499,0.294951748560113,0.00210472296845422,95.57,0.205760807735584,1.19776517226042,0.000914819143748577
"Group","A=1",0.00254617349681311,0.00251124291519344,0.251124291519344,0.00177580568704418,0.25112464325428,0.00178485698135118,95.43,0.208833689810816,1.00417454818704,0.000853182032785663
