"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",0.00134635473798527,0.000827878462406072,0.0827878462406072,0.000585427746884791,0.0827946542567236,0.000583516358135125,93.86,0.240062575175724,0.328828197975247,0.000595713971032678
"Strata","A=1",0.00104493781968084,0.000804498697051495,0.0804498697051495,0.000568894929598488,0.0804526333470134,0.000568355648576782,94.28,0.232224374259034,0.321173219349856,0.000568287958375771
"Group","A=0",-0.00197643272429246,0.000852573926794627,0.0852573926794627,0.000602890950400495,0.0852760365549027,0.000603451817161557,93.64,0.244039013274517,0.336444432740447,0.00059693047910029
"Group","A=1",-0.000754481914303118,0.000861446617718738,0.0861446617718738,0.000609165204040832,0.0861436585273366,0.000615292168656903,94.09,0.235811768154178,0.344338514248381,0.000606091214707853
