"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",-0.00361243285675056,0.00182372741742432,0.182372741742432,0.00128963450723405,0.182399398628678,0.00128886221301411,94.19,0.233932447514234,0.731224773889418,0.00138193585971292
"Strata","A=1",0.000617686827580477,0.0020249364264701,0.20249364264701,0.00143191787631247,0.20248445985295,0.0014899814284518,94.32,0.231460061349685,0.82348606121365,0.00153725933744476
"Group","A=0",-0.00477562478962469,0.00249770091637643,0.249770091637643,0.00176622956903197,0.249803256101557,0.00176834695979303,94.01,0.23730147492167,0.998063254647579,0.00176790141865522
"Group","A=1",0.00285722350729509,0.00296805580370174,0.296805580370174,0.00209883733022778,0.296804492738558,0.0021102439584252,94.82,0.221623013245466,1.20903382538688,0.00226391159040917
