"Method","A","Mean","Mean_mcse","SD","SD_mcse","RMSE","RMSE_mcse","CP","CP_mcse","CI_Length","CI_mcse"
"Strata","A=0",0.00129536205077943,0.00128260023220857,0.128260023220857,0.000906980671913502,0.128260151473877,0.000907398131220075,93.76,0.241880631717382,0.504756171700646,0.000943283457391244
"Strata","A=1",-0.00255468275889331,0.00134243251609057,0.134243251609057,0.000949290601129689,0.134260846420358,0.000964477536848535,93.79,0.241337087908179,0.528853434563737,0.000996010524448324
"Group","A=0",-0.00089095661049512,0.00150807920517962,0.150807920517962,0.00106642635519979,0.15080301187889,0.00107786094942438,93.97,0.238041824056194,0.604656804693652,0.00107316110040816
"Group","A=1",0.00243592789680188,0.0017378298540576,0.17378298540576,0.00122889272052477,0.1737913683376,0.00123802785989747,94.62,0.225622605250449,0.705837604580947,0.0012263728391351
