"estimate_a0","true_cade_a0","diff_a0","estimate_a1","true_cade_a1","diff_a1","J","sim_id_in_j"
5.51591071248625,7.01607318861329,-1.50016247612704,7.41880122270619,8.99189537296201,-1.57309415025582,20,1
5.94005406045238,7.01607318861329,-1.07601912816091,7.77326169322547,8.99189537296201,-1.21863367973654,20,2
5.97834187868529,7.01607318861329,-1.03773130992799,7.91200464343071,8.99189537296201,-1.07989072953131,20,3
5.57061216361135,7.01607318861329,-1.44546102500194,8.30330343831396,8.99189537296201,-0.688591934648057,20,4
5.19278320491677,7.01607318861329,-1.82328998369652,7.41304108197609,8.99189537296201,-1.57885429098592,20,5
5.97506314561334,7.01607318861329,-1.04101004299994,8.06328178374627,8.99189537296201,-0.928613589215741,20,6
6.44148057533499,7.01607318861329,-0.574592613278292,7.98257218038406,8.99189537296201,-1.00932319257795,20,7
6.18614708060808,7.01607318861329,-0.829926108005202,8.27383785028252,8.99189537296201,-0.718057522679489,20,8
5.7828642324726,7.01607318861329,-1.23320895614069,7.6542252266087,8.99189537296201,-1.33767014635331,20,9
6.29456362667021,7.01607318861329,-0.721509561943079,8.08705754080745,8.99189537296201,-0.904837832154561,20,10
5.92482784423025,7.01607318861329,-1.09124534438304,7.74084768973726,8.99189537296201,-1.25104768322475,20,11
6.61516211072532,7.01607318861329,-0.400911077887969,7.37297026833393,8.99189537296201,-1.61892510462809,20,12
6.04386706619255,7.01607318861329,-0.972206122420734,8.03625206559018,8.99189537296201,-0.955643307371837,20,13
6.4903725940295,7.01607318861329,-0.525700594583784,8.00425686610467,8.99189537296201,-0.987638506857348,20,14
5.81999107952735,7.01607318861329,-1.19608210908594,7.15623003004747,8.99189537296201,-1.83566534291454,20,15
5.42842901412982,7.01607318861329,-1.58764417448347,7.76654439448171,8.99189537296201,-1.22535097848031,20,16
6.26719811614663,7.01607318861329,-0.748875072466655,7.64405542743544,8.99189537296201,-1.34783994552657,20,17
5.72234062035897,7.01607318861329,-1.29373256825432,8.12159195514016,8.99189537296201,-0.870303417821848,20,18
5.42648904187162,7.01607318861329,-1.58958414674167,7.41799693627108,8.99189537296201,-1.57389843669093,20,19
6.09040083436434,7.01607318861329,-0.925672354248949,8.66929423167924,8.99189537296201,-0.322601141282775,20,20
5.6736243256366,7.01607318861329,-1.34244886297669,7.69542777007095,8.99189537296201,-1.29646760289106,20,21
5.95142567767676,7.01607318861329,-1.06464751093652,8.18847339323402,8.99189537296201,-0.803421979727991,20,22
5.79293024274962,7.01607318861329,-1.22314294586367,7.41533513544495,8.99189537296201,-1.57656023751706,20,23
6.65348063730627,7.01607318861329,-0.362592551307018,7.79483164486714,8.99189537296201,-1.19706372809487,20,24
6.1516009620091,7.01607318861329,-0.864472226604189,8.22627995391368,8.99189537296201,-0.765615419048332,20,25
6.46117357894617,7.01607318861329,-0.554899609667114,7.63957383698674,8.99189537296201,-1.35232153597528,20,26
5.88050178680664,7.01607318861329,-1.13557140180665,8.56323295627273,8.99189537296201,-0.428662416689281,20,27
5.34502551176387,7.01607318861329,-1.67104767684942,7.48397140837072,8.99189537296201,-1.50792396459129,20,28
5.94493445139599,7.01607318861329,-1.0711387372173,8.49193223020894,8.99189537296201,-0.499963142753076,20,29
5.51712471458559,7.01607318861329,-1.4989484740277,8.56824329944049,8.99189537296201,-0.42365207352152,20,30
5.24698714834835,7.01607318861329,-1.76908604026494,7.85443115793869,8.99189537296201,-1.13746421502332,20,31
5.61510613872289,7.01607318861329,-1.40096704989039,7.99325414261237,8.99189537296201,-0.998641230349643,20,32
5.60395341709706,7.01607318861329,-1.41211977151622,7.58883406163765,8.99189537296201,-1.40306131132437,20,33
6.33535860438652,7.01607318861329,-0.680714584226766,8.46520186140188,8.99189537296201,-0.526693511560129,20,34
6.33369080227015,7.01607318861329,-0.68238238634314,7.36307327063585,8.99189537296201,-1.62882210232616,20,35
6.47860666511852,7.01607318861329,-0.537466523494766,8.12405820518632,8.99189537296201,-0.867837167775694,20,36
5.23118964256414,7.01607318861329,-1.78488354604915,7.61657674941477,8.99189537296201,-1.37531862354724,20,37
5.40480179278181,7.01607318861329,-1.61127139583147,7.81701274975292,8.99189537296201,-1.17488262320909,20,38
5.91681491896923,7.01607318861329,-1.09925826964405,8.05970822644904,8.99189537296201,-0.932187146512968,20,39
5.97290513061798,7.01607318861329,-1.04316805799531,7.89504915861589,8.99189537296201,-1.09684621434613,20,40
5.96638851834693,7.01607318861329,-1.04968467026636,7.46486080876993,8.99189537296201,-1.52703456419209,20,41
5.76498857204135,7.01607318861329,-1.25108461657194,7.82984854603516,8.99189537296201,-1.16204682692686,20,42
5.53356582647901,7.01607318861329,-1.48250736213427,8.01878640789049,8.99189537296201,-0.97310896507152,20,43
5.93181558176209,7.01607318861329,-1.0842576068512,8.30992271187631,8.99189537296201,-0.6819726610857,20,44
5.46518853141944,7.01607318861329,-1.55088465719384,8.13872039365218,8.99189537296201,-0.853174979309832,20,45
5.88971599451665,7.01607318861329,-1.12635719409664,8.40457016762182,8.99189537296201,-0.587325205340195,20,46
5.82431175589611,7.01607318861329,-1.19176143271718,8.67880065395441,8.99189537296201,-0.313094719007603,20,47
6.10813273991853,7.01607318861329,-0.907940448694757,7.61844212380857,8.99189537296201,-1.37345324915344,20,48
5.94478105879365,7.01607318861329,-1.07129212981964,7.81807968807966,8.99189537296201,-1.17381568488235,20,49
5.99791504888822,7.01607318861329,-1.01815813972507,8.17434374368284,8.99189537296201,-0.817551629279169,20,50
