"sim_id","estimate_a0","true_cade_a0","diff_a0","estimate_a1","true_cade_a1","diff_a1"
1,5.47259504041907,7.0128950055576,-1.54029996513853,8.24400012113369,8.97959668515568,-0.735596564021984
2,6.87141101468556,7.0128950055576,-0.141483990872035,8.56748218576683,8.97959668515568,-0.412114499388851
3,6.1794159295566,7.0128950055576,-0.833479076000994,7.15703825127884,8.97959668515568,-1.82255843387684
4,6.65876547831923,7.0128950055576,-0.354129527238372,7.11900854242558,8.97959668515568,-1.86058814273009
5,5.59418808340847,7.0128950055576,-1.41870692214912,7.29843619507906,8.97959668515568,-1.68116049007662
6,5.28842569080846,7.0128950055576,-1.72446931474914,9.29066013082222,8.97959668515568,0.311063445666544
7,6.23556083915645,7.0128950055576,-0.777334166401152,8.21091228852387,8.97959668515568,-0.76868439663181
8,5.99697336799191,7.0128950055576,-1.01592163756568,7.39330771549502,8.97959668515568,-1.58628896966065
9,5.63058073347023,7.0128950055576,-1.38231427208737,8.41400396044556,8.97959668515568,-0.56559272471012
10,5.71738466819541,7.0128950055576,-1.29551033736219,8.25043692885727,8.97959668515568,-0.72915975629841
11,6.62306019789972,7.0128950055576,-0.389834807657874,7.94411898244762,8.97959668515568,-1.03547770270806
12,5.51509281182526,7.0128950055576,-1.49780219373234,8.30172811585786,8.97959668515568,-0.677868569297816
13,5.99155700163861,7.0128950055576,-1.02133800391899,8.59951130227681,8.97959668515568,-0.380085382878866
14,5.8283332529145,7.0128950055576,-1.18456175264309,8.41232427591759,8.97959668515568,-0.567272409238088
15,5.98012078369317,7.0128950055576,-1.03277422186443,8.83783509890895,8.97959668515568,-0.141761586246725
16,5.51134435616513,7.0128950055576,-1.50155064939246,7.73146267802346,8.97959668515568,-1.24813400713222
17,6.93631621376106,7.0128950055576,-0.0765787917965408,7.17629053367446,8.97959668515568,-1.80330615148122
18,6.36652733097808,7.0128950055576,-0.646367674579517,6.79772694222842,8.97959668515568,-2.18186974292726
19,5.58314405220261,7.0128950055576,-1.42975095335499,7.09713890869312,8.97959668515568,-1.88245777646256
20,5.99905041984055,7.0128950055576,-1.01384458571704,7.61064909000349,8.97959668515568,-1.36894759515218
21,6.70750336488993,7.0128950055576,-0.305391640667665,7.36125752695597,8.97959668515568,-1.61833915819971
22,6.19931720378775,7.0128950055576,-0.813577801769851,7.87324956330981,8.97959668515568,-1.10634712184587
23,5.98362539992057,7.0128950055576,-1.02926960563703,8.22814005860473,8.97959668515568,-0.751456626550949
24,5.32540135221581,7.0128950055576,-1.68749365334178,7.33474849324331,8.97959668515568,-1.64484819191236
25,5.69213010984557,7.0128950055576,-1.32076489571203,7.93395751205685,8.97959668515568,-1.04563917309883
26,5.7002694923131,7.0128950055576,-1.31262551324449,7.76402066395981,8.97959668515568,-1.21557602119587
27,5.99752692807419,7.0128950055576,-1.01536807748341,7.91734460613425,8.97959668515568,-1.06225207902142
28,5.86110773424902,7.0128950055576,-1.15178727130858,7.74827827313531,8.97959668515568,-1.23131841202037
29,5.67061216277342,7.0128950055576,-1.34228284278418,6.69292079370931,8.97959668515568,-2.28667589144637
30,6.13950145170119,7.0128950055576,-0.873393553856404,8.03965668621622,8.97959668515568,-0.93993999893946
31,6.07616148287223,7.0128950055576,-0.936733522685366,8.9059317018983,8.97959668515568,-0.0736649832573715
32,5.76052511046401,7.0128950055576,-1.25236989509359,7.54721337736371,8.97959668515568,-1.43238330779196
33,6.14465835141928,7.0128950055576,-0.868236654138319,8.38637889074445,8.97959668515568,-0.593217794411224
34,6.19963543696452,7.0128950055576,-0.813259568593081,8.28174536275753,8.97959668515568,-0.697851322398149
35,6.61857241652757,7.0128950055576,-0.394322589030028,9.0843626682556,8.97959668515568,0.104765983099925
36,6.13038537268636,7.0128950055576,-0.882509632871233,8.11916447788473,8.97959668515568,-0.860432207270948
37,5.5452469638244,7.0128950055576,-1.4676480417332,8.48035667607614,8.97959668515568,-0.499240009079539
38,4.86664711071885,7.0128950055576,-2.14624789483875,7.65572348337454,8.97959668515568,-1.32387320178114
39,6.74470530296373,7.0128950055576,-0.268189702593867,7.81734114966636,8.97959668515568,-1.16225553548932
40,6.10825501863521,7.0128950055576,-0.90463998692239,8.08701422252886,8.97959668515568,-0.892582462626814
41,5.53356574496674,7.0128950055576,-1.47932926059086,7.40033235054268,8.97959668515568,-1.57926433461299
42,5.5324661805139,7.0128950055576,-1.48042882504369,8.52789425459607,8.97959668515568,-0.451702430559608
43,5.17546571985964,7.0128950055576,-1.83742928569796,7.42481013749316,8.97959668515568,-1.55478654766252
44,5.44572348532869,7.0128950055576,-1.5671715202289,8.25585690548815,8.97959668515568,-0.723739779667525
45,6.11634006819396,7.0128950055576,-0.896554937363635,7.44508642005585,8.97959668515568,-1.53451026509982
46,5.75093592431569,7.0128950055576,-1.2619590812419,8.25602551170987,8.97959668515568,-0.72357117344581
47,5.90118156004625,7.0128950055576,-1.11171344551135,7.57029175504704,8.97959668515568,-1.40930493010864
48,6.06689743370134,7.0128950055576,-0.945997571856255,8.03273721230097,8.97959668515568,-0.946859472854706
49,5.94978634298427,7.0128950055576,-1.06310866257333,6.90603406746882,8.97959668515568,-2.07356261768685
50,5.82457443244323,7.0128950055576,-1.18832057311436,7.38283713614249,8.97959668515568,-1.59675954901319
51,6.06248695040162,7.0128950055576,-0.950408055155974,8.34121480479148,8.97959668515568,-0.638381880364193
52,5.75940355046075,7.0128950055576,-1.25349145509685,8.31752523651438,8.97959668515568,-0.662071448641296
53,6.35666567098462,7.0128950055576,-0.656229334572982,8.41667993455029,8.97959668515568,-0.562916750605389
54,5.77015643133798,7.0128950055576,-1.24273857421962,8.13163162848235,8.97959668515568,-0.84796505667333
55,6.53457391172394,7.0128950055576,-0.478321093833663,7.22774857449527,8.97959668515568,-1.75184811066041
56,4.97294281002825,7.0128950055576,-2.03995219552935,8.62910159597226,8.97959668515568,-0.350495089183413
57,6.05196187413653,7.0128950055576,-0.960933131421072,7.62912671606015,8.97959668515568,-1.35046996909552
